U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
-5.0,6.35,5.712051880582752,1.522234389480962,0.07133741767109497
-4.95,6.35,5.710693589269321,1.5285145277462096,0.07159110566418682
-4.95,6.3,5.711983474100949,1.5116125779212555,0.07093511417159996
-4.9,6.3,5.710617757779513,1.5179263811078385,0.07119081471449396
-4.85,6.3,5.709308625032828,1.524020748354285,0.07143801967332149
-4.8,6.3,5.707931258678903,1.5303926933153589,0.07169565270399506
-4.8,6.25,5.7092241477661405,1.513490985848172,0.07104037589611983
-4.75,6.25,5.707840601062339,1.5198918887104569,0.07129989922925462
-4.7,6.25,5.7064529423543675,1.526315611408933,0.07156009402555111
-4.7,6.2,5.70774800522503,1.5094191215009278,0.07090480070964707
-4.65,6.2,5.706354856873473,1.5158688617675444,0.07116678058367881
-4.6,6.2,5.704952859390824,1.5223600298841238,0.07143020897918513
-4.55,6.2,5.703550169028176,1.528860603212509,0.07169377390616406
-4.55,6.15,5.7048855482932215,1.5118147523869083,0.07103354216757211
-4.5,6.15,5.703474914037673,1.5183512428451413,0.07129928948432877
-4.45,6.15,5.701966447722658,1.5252850957036395,0.07157997202171144
-4.45,6.1,5.703268195795909,1.5083872917829468,0.07092528796492185
-4.4,6.1,5.701848066339256,1.514972645062282,0.07119348715027159
-4.35,6.1,5.70042643047156,1.5215704040701836,0.07146210813884951
-4.3,6.1,5.699000823288541,1.5281903820751357,0.07173136296476271
-4.3,6.05,5.700301070918961,1.511310582593937,0.07107807442210619
-4.25,6.05,5.698870030371416,1.5179568258166656,0.0713491507769007
-4.2,6.05,5.697429890595254,1.5246462089183879,0.07162166378155896
-4.2,6.0,5.698739614673832,1.5077422520980004,0.0709672937976982
-4.15,6.0,5.6972932238273435,1.5144610820672477,0.07124176826896887
-4.1,6.0,5.695844503651407,1.5211958538055004,0.0715167117294329
-4.05,6.0,5.694395003433885,1.527941252050706,0.07191134052015154
-4.05,5.95,5.69569981934213,1.5110678017258516,0.07113949801518682
-4.0,5.95,5.694245465782274,1.5178373221305814,0.07147552563664523
-3.95,5.95,5.6927858221448995,1.5246336552485193,0.07169417831292928
-3.95,5.9,5.694094123553936,1.507761249779158,0.07110007492132495
-3.9,5.9,5.6926295304258945,1.5145819980401252,0.07132124549936728
-3.85,5.9,5.691211304546596,1.5212235566690975,0.07159373650545842
-3.8,5.9,5.689737017779079,1.528096705025658,0.0718749402514008
-3.8,5.85,5.691134030938377,1.510880047567957,0.07121008670803754
-3.75,5.85,5.689557177848797,1.5181698979064624,0.07150816231405278
-3.7,5.85,5.688062666389404,1.52513589797079,0.07179356898799313
