U_Ga-4p,U_Sb-5p,a(A),Eg(eV),meff
-5.0,6.55,6.175481168734932,0.810324246195476,0.12971136271355593
-4.95,6.55,6.17375994671503,0.8174098576498021,0.13015005162104357
-4.95,6.5,6.175354493153468,0.801970926761701,0.1292546113081846
-4.9,6.5,6.17362921822605,0.8090783010835727,0.1296937636732001
-4.85,6.5,6.171887093325047,0.8162536418318895,0.13013862482784586
-4.85,6.45,6.173492395529386,0.8007928451251083,0.12924189997197572
-4.8,6.45,6.1717448845841005,0.8079944372309558,0.12968752293113245
-4.75,6.45,6.169993289111012,0.8152209387523673,0.13013625375345253
-4.7,6.45,6.168224970517901,0.8225153046634475,0.13059082731611088
-4.7,6.4,6.169842955576563,0.8070229845939307,0.1296895907102494
-4.65,6.4,6.168064920712895,0.814358641182528,0.13014590319858493
-4.6,6.4,6.166299120366547,0.8216637286317068,0.13060175260261933
-4.6,6.35,6.167905728589011,0.8062247945678847,0.12970384756436018
-4.55,6.35,6.1661263164863165,0.8135845852270789,0.1301623232593177
-4.5,6.35,6.164346039062159,0.8209586371577003,0.130623254494889
-4.5,6.3,6.165951154019897,0.8055394371566689,0.1297264628212389
-4.45,6.3,6.164164280535001,0.8129442426688375,0.1301884833455881
-4.4,6.3,6.162365730128647,0.8204003916696899,0.1306554132787658
-4.4,6.25,6.163978026104747,0.8049712522535184,0.12975774099106976
-4.35,6.25,6.162169987304677,0.8124682539877927,0.13022641210255612
-4.3,6.25,6.160367049030204,0.8199596050781088,0.13069629666991972
-4.3,6.2,6.161973239003487,0.8045658156403801,0.12980067061605988
-4.25,6.2,6.160159292344026,0.8121033806819228,0.1302726636402262
-4.2,6.2,6.158355202547639,0.8196186283886346,0.13074489238641063
-4.2,6.15,6.159950030817881,0.8042785605631668,0.12985237713825037
-4.15,6.15,6.158141755956493,0.8118166944716957,0.13032521970352132
-4.1,6.15,6.156324988125021,0.8193958181826624,0.13080240966246678
-4.1,6.1,6.157914804370701,0.8040878551158317,0.1299115758542841
-4.05,6.1,6.156099229417433,0.8116717147020514,0.1303882100546447
-4.0,6.1,6.154260403575312,0.8193473828548465,0.1308725602760384
-4.0,6.05,6.155868287378291,0.8039917647279228,0.12997814769475638
-3.95,6.05,6.154022835960066,0.8116992517034011,0.13046371238149615
-3.9,6.05,6.152179789935207,0.8194071167834148,0.13095140098380967
-3.9,6.0,6.153779688248274,0.8040967780409349,0.13005908736922595
-3.85,6.0,6.151929298756591,0.8118390201259962,0.13054817121835
-3.8,6.0,6.150057595749793,0.8196698809942785,0.13104456073488577
-3.8,5.95,6.1516765721650195,0.804305894996735,0.13014844519861807
-3.75,5.95,6.149795364147206,0.812178612488461,0.13064672490241333
-3.7,5.95,6.147925386881679,0.820024943960639,0.13114522269344175
-3.7,5.9,6.149546281715836,0.8046689374507366,0.1302488838396104
-3.65,5.9,6.147653561661103,0.812602996803959,0.13075230344439975
-3.6,5.9,6.145757636927192,0.8205607463674023,0.13125923144509416
-3.6,5.85,6.147376930230816,0.8052247833216393,0.13036342513662028
-3.55,5.85,6.145472789713786,0.8132199874084188,0.1308720028933625
-3.5,5.85,6.143556491548957,0.8212703465802076,0.13138623196896634
-3.5,5.8,6.1451823032382675,0.8059265520141823,0.13048903429807723
-3.45,5.8,6.1432581332020995,0.814013717434172,0.1310048710510543
-3.4,5.8,6.1413296423621935,0.8221285006316322,0.13152463289212266
-3.4,5.75,6.142957980464654,0.8067905683069948,0.13062686241367152
-3.35,5.75,6.141018271924612,0.8149540496765003,0.13114904090366616
-3.3,5.75,6.139058621899538,0.8231994709970588,0.13167882904034095
-3.3,5.7,6.140704038046057,0.8078167636234459,0.13077702177818173
-3.25,5.7,6.1387356427525575,0.81610263719747,0.1313086935511756
-3.25,5.65,6.140386197061955,0.800720285276178,0.13040878951411514
-3.2,5.65,6.138406495893093,0.8090550076858953,0.13094290011383816
-3.15,5.65,6.136434684319016,0.817375898442739,0.13147836391239734
-3.15,5.6,6.138076676676884,0.8020378206167333,0.13058021278468881
-3.1,5.6,6.136090797880742,0.8104176087308569,0.13111881523699048
-3.05,5.6,6.1341074357671665,0.8188022057334735,0.1316600838703316
-3.05,5.55,6.135746302910896,0.803489424486718,0.13076231786475698
-3.0,5.55,6.133758843175251,0.8118982758642835,0.13130446342766094
-2.95,5.55,6.131764188435379,0.8203456524474959,0.13185153749733292
-2.95,5.5,6.133404870282873,0.8050413953657476,0.1309530115586407
-2.9,5.5,6.131400193681654,0.8135341155615954,0.13150238937468597
-2.85,5.5,6.129392179309435,0.8220504656631793,0.13205591794802113
-2.85,5.45,6.131034201623629,0.8067575719767159,0.1311565987326127
-2.8,5.45,6.129016919919938,0.8153160207001979,0.13171224210129515
-2.75,5.45,6.126989771837239,0.8239252963867266,0.13227370408707897
-2.75,5.4,6.128631513631268,0.8086462794528732,0.13137389607478833
-2.7,5.4,6.126597880942453,0.817288590895239,0.13193689583094229
-2.7,5.35,6.128246413219865,0.8020037397208771,0.13103834302366152
-2.65,5.35,6.126291084340954,0.8103826085314106,0.1315830178078726
-2.6,5.35,6.124170380170274,0.8193540737329649,0.13217005369251567
-2.6,5.3,6.125885959985119,0.803849310970457,0.13125513249593151
-2.55,5.3,6.123765436454786,0.8128313109152999,0.1318422077577353
-2.5,5.3,6.121714664146874,0.8215828039866733,0.1324165281092062
-2.5,5.25,6.123354791952425,0.806357268662957,0.13151858579701003
-2.45,5.25,6.121296232846702,0.8151470714700192,0.13209488245565004
-2.4,5.25,6.119210966517773,0.8240451128196438,0.13268126044162679
-2.4,5.2,6.120870045462363,0.8087677726782105,0.1317779903039497
-2.35,5.2,6.1187768481407865,0.817704518114341,0.13236638782284885
-2.35,5.15,6.120437087182639,0.802441465184914,0.13146559867175195
-2.3,5.15,6.118338984048232,0.8114069847971507,0.1320553525757084
-2.25,5.15,6.116245570245914,0.8203706541694418,0.13264791568496065
-2.25,5.1,6.117899851383058,0.8051429965730513,0.1317475076586241
-2.2,5.1,6.115798434728892,0.8141459674277625,0.13234218144061938
-2.15,5.1,6.113695094096013,0.8231706874511724,0.1329414028251721
-2.15,5.05,6.115348975366754,0.807959234632112,0.13203993057655156
-2.1,5.05,6.11323310659484,0.8170393942006534,0.13264238583305094
-2.1,5.0,6.114888332439355,0.8018414293784332,0.13174323893104145
-2.05,5.0,6.11276607617482,0.8109553038948184,0.13234747270359432
-2.0,5.0,6.110550308573276,0.820414965087326,0.13297849143182364
-2.0,4.95,6.112296172958838,0.8049116345794292,0.13205619822488462
-1.95,4.95,6.110059474531885,0.814456937041925,0.13269256899729323
-1.9,4.95,6.107977267218752,0.8234710604488046,0.13329587781701
-1.9,4.9,6.109585605456015,0.808468498854235,0.1324053900484402
-1.85,4.9,6.107484975390793,0.8175598594707061,0.13301359315236885
-1.85,4.85,6.1092053471408105,0.8021788942836938,0.13209859313494238
-1.8,4.85,6.106992273877081,0.8116794103768152,0.13273426597252808
-1.75,4.85,6.104915763296008,0.8207116995611117,0.1333411986732791
-1.75,4.8,6.106665485696882,0.8052422375013348,0.13241771655894582
-1.7,4.8,6.10459935062877,0.8142487477421867,0.13302228125813348
-1.65,4.8,6.102327198149211,0.8240015357815927,0.13368165421849973
-1.65,4.75,6.103994868191103,0.8088378028599468,0.13277659021760718
-1.6,4.75,6.101814473087515,0.8182769766147515,0.13341403646036656
-1.6,4.7,6.103484356030812,0.8031236250360566,0.13251086538797083
-1.55,4.7,6.101295754845839,0.8126042283150661,0.13315082319962102
-1.5,4.7,6.099098421983081,0.8221290508120341,0.13379785215062256
-1.5,4.65,6.100772035432213,0.8069800065400244,0.13289175929574215
-1.45,4.65,6.098882915325697,0.8154200922108308,0.1334632935270244
-1.45,4.6,6.100247261311502,0.8013879264664548,0.13263618965590857
-1.4,4.6,6.098362263598907,0.8098274030409198,0.13320703126894587
-1.35,4.6,6.095945433867354,0.8201765334638442,0.13391376662433052
-1.35,4.55,6.097905036029412,0.8040402353159511,0.13293816802186897
