U_Ga-4p,U_As-4p,Eg(eV)
-5.0,6.34,1.5188751359085306
-4.99,6.34,1.5201245003240476
-4.99,6.33,1.5167484619426328
-4.98,6.33,1.5179978263581502
-4.97,6.33,1.519247190773667
-4.96,6.33,1.520496553270746
-4.96,6.32,1.5171205175577551
-4.95,6.32,1.5183698818984395
-4.94,6.32,1.5196192461410885
-4.93,6.32,1.5208686103850102
-4.93,6.31,1.5174925721577992
-4.92,6.31,1.5187419363809043
-4.91,6.31,1.5199913007195989
-4.9,6.31,1.5212406647251644
-4.9,6.3,1.5178646198358445
-4.89,6.3,1.5191139844003223
-4.88,6.3,1.5203686245341643
-4.88,6.29,1.5169932775042088
-4.87,6.29,1.51824199662523
-4.86,6.29,1.5194907144069214
-4.85,6.29,1.5207394262438392
-4.85,6.28,1.5173918948358927
-4.84,6.28,1.5186436191243777
-4.83,6.28,1.5198953433504343
-4.82,6.28,1.5211470679602148
-4.82,6.27,1.517789933922367
-4.81,6.27,1.519055012454098
-4.8,6.27,1.5203200898017613
-4.8,6.26,1.516947546808111
-4.79,6.26,1.5182126241557743
-4.78,6.26,1.5194444713238684
-4.77,6.26,1.5207249728793557
-4.77,6.25,1.5173451614981743
-4.76,6.25,1.5186256630583304
-4.75,6.25,1.5199061646105743
-4.74,6.25,1.5211866661657174
-4.74,6.24,1.5178102979877781
-4.73,6.24,1.5190946837025803
-4.72,6.24,1.5203790695056631
-4.72,6.23,1.5169992571493576
-4.71,6.23,1.51828364285683
-4.7,6.23,1.5195680285562043
-4.69,6.23,1.5208695834912995
-4.69,6.22,1.5174894531145342
-4.68,6.22,1.5187778957764064
-4.67,6.22,1.5200663384274367
-4.67,6.21,1.5166841653858376
-4.66,6.21,1.5179795027682872
-4.65,6.21,1.5192748401507368
-4.64,6.21,1.5205701775397085
-4.64,6.2,1.517161892159257
-4.63,6.2,1.5184582996465128
-4.62,6.2,1.5197547071364457
-4.61,6.2,1.5210511146295445
-4.61,6.19,1.5176560546076505
-4.6,6.19,1.5189524621599424
-4.59,6.19,1.5202643604784853
-4.59,6.18,1.516860813031276
-4.58,6.18,1.5181582006053955
-4.57,6.18,1.5194555881795153
-4.56,6.18,1.520811098392119
-4.56,6.17,1.5173880311617034
-4.55,6.17,1.5187118657132883
-4.54,6.17,1.5200356975628813
-4.53,6.17,1.5213589241856154
-4.53,6.16,1.5179650284679185
-4.52,6.16,1.5192978446664573
-4.51,6.16,1.5206306608678222
-4.51,6.15,1.5172367650783216
-4.5,6.15,1.51856958172342
-4.49,6.15,1.519902397655081
-4.48,6.15,1.5212213363674398
-4.48,6.14,1.5178275856546397
