U_Ga-4p,U_As-4p,Eg(eV)
-10.01,7.86,1.5182748728994127
-10.0,7.86,1.5191414722922505
-9.99,7.86,1.5200080716850883
-9.98,7.86,1.5208746710779264
-9.98,7.85,1.5174596547068646
-9.97,7.85,1.5183262540997025
-9.96,7.85,1.519192853507405
-9.95,7.85,1.5200594528960865
-9.94,7.85,1.5209260522866654
-9.94,7.84,1.5175110359289032
-9.93,7.84,1.5183776353164027
-9.92,7.84,1.5192442347039021
-9.91,7.84,1.5201108341051917
-9.9,7.84,1.5209774334798096
-9.9,7.83,1.517562417154176
-9.89,7.83,1.5184290165287924
-9.88,7.83,1.5192956158969304
-9.87,7.83,1.52016221528303
-9.86,7.83,1.5210288146762339
-9.86,7.82,1.5176137983096858
-9.85,7.82,1.5184803977009016
-9.84,7.82,1.5193125868447084
-9.83,7.82,1.5201826887519072
-9.82,7.82,1.521052790659106
-9.82,7.81,1.517633292308363
-9.81,7.81,1.5185033942067663
-9.8,7.81,1.51937349610517
-9.79,7.81,1.520222038663161
-9.78,7.81,1.521085624201856
-9.78,7.8,1.517677064985127
-9.77,7.8,1.5185406505653436
-9.76,7.8,1.5194323175827287
-9.75,7.8,1.520293434206072
-9.75,7.79,1.5168831292541005
-9.74,7.79,1.5177442458847998
-9.73,7.79,1.5186053625574802
-9.72,7.79,1.519466479175699
-9.71,7.79,1.5203156748651057
-9.71,7.78,1.5169198539861646
-9.7,7.78,1.5177806864190746
-9.69,7.78,1.5186415188603022
-9.68,7.78,1.5195243926821682
-9.67,7.78,1.520375104736599
-9.67,7.77,1.516996195207314
-9.66,7.77,1.517846907270695
-9.65,7.77,1.5186976193371384
-9.64,7.77,1.5195497921979944
-9.63,7.77,1.5204056986669816
-9.63,7.76,1.5170198632778138
-9.62,7.76,1.5178757697624456
-9.61,7.76,1.5187316762023044
-9.6,7.76,1.5195875826727103
-9.59,7.76,1.5204467077058719
-9.59,7.75,1.5170575544928688
-9.58,7.75,1.5179172470401787
-9.57,7.75,1.5187769395874888
-9.56,7.75,1.5196405023233601
-9.55,7.75,1.5205006189579222
-9.55,7.74,1.5171182361107245
-9.54,7.74,1.517978352751397
-9.53,7.74,1.5188384693878234
-9.52,7.74,1.5196985860242505
-9.51,7.74,1.5205627880163046
-9.51,7.73,1.517186969504269
-9.5,7.73,1.5180475685776291
-9.49,7.73,1.5189081676509892
-9.48,7.73,1.519774569039503
-9.47,7.73,1.5206393658854207
-9.47,7.72,1.5172600685420297
-9.46,7.72,1.5181248654002633
-9.45,7.72,1.5189896622394534
-9.44,7.72,1.5198558690173865
-9.43,7.72,1.520726262172671
-9.43,7.71,1.517339503975244
-9.42,7.71,1.518209897162314
-9.41,7.71,1.5190780542443885
-9.4,7.71,1.519950164949583
-9.39,7.71,1.5208222756524243
-9.39,7.7,1.5174387261386937
-9.38,7.7,1.5183108368373497
-9.37,7.7,1.5191829475278422
-9.36,7.7,1.520056697229644
-9.35,7.7,1.520930430785184
-9.35,7.69,1.51754850222081
-9.34,7.69,1.5184222357417965
-9.33,7.69,1.519295969266244
-9.32,7.69,1.5201697027899703
-9.31,7.69,1.5210504579754025
-9.31,7.68,1.517671102365905
-9.3,7.68,1.518546534153041
-9.29,7.68,1.5194219659387855
-9.28,7.68,1.520311518662734
-9.28,7.67,1.5169250877720875
-9.27,7.67,1.5178058249661341
-9.26,7.67,1.5186865621580456
-9.25,7.67,1.5195672993499478
-9.24,7.67,1.520455938785785
-9.24,7.66,1.5170656667900753
-9.23,7.66,1.5179506032726073
-9.22,7.66,1.5188355397521685
-9.21,7.66,1.5197181640097328
