U_In-5p,U_As-4p,Eg(eV)
-5.0,4.36,0.4176157039558799
-4.99,4.36,0.41836414321341864
-4.99,4.35,0.4149910022559633
-4.98,4.35,0.4157394415135016
-4.97,4.35,0.4164878807710404
-4.96,4.35,0.4172363200014009
-4.95,4.35,0.4179847592593382
-4.94,4.35,0.41873319851727553
-4.94,4.34,0.4153600575943399
-4.93,4.34,0.4161084968508939
-4.92,4.34,0.4168569361074481
-4.91,4.34,0.4176053753699167
-4.9,4.34,0.4183538146317458
-4.9,4.33,0.41498067366807834
-4.89,4.33,0.4157291129231633
-4.88,4.33,0.4164775521731574
-4.87,4.33,0.4172259914307668
-4.86,4.33,0.4179744306911748
-4.85,4.33,0.41872286994699737
-4.85,4.32,0.4153497289937653
-4.84,4.32,0.41609714244032525
-4.83,4.32,0.41685006505381383
-4.82,4.32,0.4176029876673024
-4.81,4.32,0.4183559102854535
-4.81,4.31,0.4149768131477596
-4.8,4.31,0.4157297357644616
-4.79,4.31,0.4164853910008388
-4.78,4.31,0.41724182160192913
-4.77,4.31,0.4179982521995027
-4.76,4.31,0.41875264565684
-4.76,4.3,0.41537812935724494
-4.75,4.3,0.41613489721412944
-4.74,4.3,0.4168916650722876
-4.73,4.3,0.4176484329267407
-4.72,4.3,0.41840520078303123
-4.72,4.29,0.41503443781167837
-4.71,4.29,0.4157917968194489
-4.7,4.29,0.4165491558285257
-4.69,4.29,0.4173065148376025
-4.68,4.29,0.4180745762417619
-4.67,4.29,0.4188361503414664
-4.67,4.28,0.41546670632166083
-4.66,4.28,0.4162282804298152
-4.65,4.28,0.41698985452393256
-4.64,4.28,0.417751428623637
-4.63,4.28,0.4185314576555128
-4.63,4.27,0.415153133098652
-4.62,4.27,0.41592135708558686
-4.61,4.27,0.41668958107011234
-4.6,4.27,0.41745780505529906
-4.59,4.27,0.41823142675624503
-4.58,4.27,0.41900473154568063
-4.58,4.26,0.41562275256789083
-4.57,4.26,0.4163960573597467
-4.56,4.26,0.41716936214729783
-4.55,4.26,0.4179426669334583
-4.54,4.26,0.41872326549364014
-4.54,4.25,0.41534242963735646
-4.53,4.25,0.4161181273435799
-4.52,4.25,0.41689382506034933
-4.51,4.25,0.4176695227591294
-4.5,4.25,0.4184452204665967
-4.5,4.24,0.4150789681911222
-4.49,4.24,0.41585466589858955
-4.48,4.24,0.4166290707343867
-4.47,4.24,0.4174071710974969
-4.46,4.24,0.4181852714623371
-4.45,4.24,0.41896337182491017
-4.45,4.23,0.4155979661673759
-4.44,4.23,0.4163760665299492
-4.43,4.23,0.41715962441728793
-4.42,4.23,0.4179420522173243
-4.41,4.23,0.4187244800123129
-4.41,4.22,0.4153553959138294
-4.4,4.22,0.41613782371327623
-4.39,4.22,0.41692019902640176
-4.38,4.22,0.4177076765404757
-4.37,4.22,0.41849515405181714
-4.37,4.21,0.41511935076379114
-4.36,4.21,0.4159068282751126
-4.35,4.21,0.41669430578643385
-4.34,4.21,0.41748484500219885
-4.33,4.21,0.4182761529884218
-4.32,4.21,0.4190674609715739
-4.32,4.2,0.41569552852816316
-4.31,4.2,0.4164871821018086
-4.3,4.2,0.4172788356754541
-4.29,4.2,0.41807048924909973
-4.28,4.2,0.41886214282484036
-4.28,4.19,0.4154922890073097
-4.27,4.19,0.416283942582104
-4.26,4.19,0.4171020132430875
-4.25,4.19,0.41789631451364784
-4.24,4.19,0.4186906157842081
-4.24,4.18,0.4153474315043697
-4.23,4.18,0.41614924453384794
-4.22,4.18,0.4169510575633264
-4.21,4.18,0.4177528705904281
-4.2,4.18,0.4185546836179117
-4.2,4.17,0.41520294618845477
-4.19,4.17,0.4159836269545727
-4.18,4.17,0.4167860770957852
-4.17,4.17,0.41758852723417683
-4.16,4.17,0.4183909773751453
-4.16,4.16,0.415038629054147
-4.15,4.16,0.41584107919313484
-4.14,4.16,0.41663113689717446
-4.13,4.16,0.4174324288270579
-4.12,4.16,0.4182337207537272
-4.11,4.16,0.419026685174517
-4.11,4.15,0.4156596894729532
-4.1,4.15,0.4164612363602709
-4.09,4.15,0.4172627832502198
-4.08,4.15,0.418064330144835
-4.07,4.15,0.41886587703758316
-4.07,4.14,0.4155109507465389
-4.06,4.14,0.4163126578699152
-4.05,4.14,0.41711436498759236
-4.04,4.14,0.4179160721091475
-4.03,4.14,0.41873224146222887
-4.03,4.13,0.4153615042108013
