U_In-5p,U_Sb-5p,Eg(eV)
-5.0,4.55,0.23507881362457295
-4.99,4.55,0.23607005619564259
-4.98,4.55,0.23706129876671223
-4.98,4.54,0.23376747675454124
-4.97,4.54,0.23475871932561088
-4.96,4.54,0.23574996195471343
-4.95,4.54,0.23674120452661485
-4.95,4.53,0.23344738248083274
-4.94,4.53,0.23443862505273394
-4.93,4.53,0.23542986757955275
-4.92,4.53,0.23642111015624545
-4.92,4.52,0.23312728808229188
-4.91,4.52,0.23411853071687205
-4.9,4.52,0.2351097732908014
-4.89,4.52,0.23610101586413923
-4.88,4.52,0.23709225843897963
-4.88,4.51,0.23379843639368159
-4.87,4.51,0.23478967899835745
-4.86,4.51,0.23576440490285355
-4.85,4.51,0.23676424846085475
-4.85,4.5,0.23348326112110795
-4.84,4.5,0.23448310468094968
-4.83,4.5,0.23548294823339955
-4.82,4.5,0.236482791800533
-4.82,4.49,0.23317039246235738
-4.81,4.49,0.23417258473647995
-4.8,4.49,0.23517477701729472
-4.79,4.49,0.2361769693040161
-4.79,4.48,0.2328983129718485
-4.78,4.48,0.23390050524933348
-4.77,4.48,0.23487596232544705
-4.76,4.48,0.2358725077801509
-4.75,4.48,0.23686905317334084
-4.75,4.47,0.23358867745964895
-4.74,4.47,0.23457242348220841
-4.73,4.47,0.23556136175001696
-4.72,4.47,0.2365503000178255
-4.72,4.46,0.23328017869127127
-4.71,4.46,0.2342017625255004
-4.7,4.46,0.2351860970990456
-4.69,4.46,0.23617043162896278
-4.68,4.46,0.2371547662381328
-4.68,4.45,0.23380400839774618
-4.67,4.45,0.23478834295518203
-4.66,4.45,0.2357676785616727
-4.65,4.45,0.23674320852898556
-4.65,4.44,0.23338367754022604
-4.64,4.44,0.2343592075284613
-4.63,4.44,0.235334737474852
-4.62,4.44,0.2363102674421651
-4.62,4.43,0.23301735692361025
-4.61,4.43,0.2340029045398222
-4.6,4.43,0.2349884521517287
-4.59,4.43,0.23597399976363564
-4.58,4.43,0.23698803491934317
-4.58,4.42,0.23354118575362426
-4.57,4.42,0.2345379062806121
-4.56,4.42,0.23553462680020032
-4.55,4.42,0.23653134732265935
-4.55,4.41,0.2330778400628588
-4.54,4.41,0.23408224784353449
-4.53,4.41,0.23508665562512943
-4.52,4.41,0.23609106340446728
-4.51,4.41,0.2371193374810805
-4.51,4.4,0.23377169045105806
-4.5,4.4,0.23477649800532707
-4.49,4.4,0.23578130554651655
-4.48,4.4,0.2367861130883684
-4.48,4.39,0.2334384661083213
-4.47,4.39,0.23444327364979944
-4.46,4.39,0.23541385831811223
-4.45,4.39,0.23641992070678186
-4.45,4.38,0.23316185722202998
-4.44,4.38,0.2341679196106996
-4.43,4.38,0.23518242430737235
-4.42,4.38,0.23619363668033388
-4.42,4.37,0.23293164279223122
-4.41,4.37,0.23394285515329138
-4.4,4.37,0.2349540675258035
-4.39,4.37,0.23596748210081198
-4.38,4.37,0.23698687353429748
-4.38,4.36,0.23371397197099975
-4.37,4.36,0.2347333633825741
-4.36,4.36,0.23574817516795155
-4.35,4.36,0.23677005893096803
-4.35,4.35,0.2335011416805839
-4.34,4.35,0.2345230254419861
-4.33,4.35,0.23554490920579196
-4.32,4.35,0.23656679296826733
-4.32,4.34,0.23330252946578756
-4.31,4.34,0.23432701963566727
-4.3,4.34,0.23535150980457442
-4.29,4.34,0.23637599997122338
-4.29,4.33,0.23310967922099612
-4.28,4.33,0.23413416938791975
